PLNFI0600010;06N;06MAGNA;MAGNA POLONIA SPÓŁKA AKCYJNA;GPW
PLNFI0800016;08N;08OCTAVA;OCTAVA SPÓŁKA AKCYJNA;GPW
PL11BTS00015;11B;11BIT;11 BIT STUDIOS SPÓŁKA AKCYJNA;GPW
PLGRNKT00019;3RG;3RGAMES;3RGAMES SPÓŁKA AKCYJNA;GPW
PLAB00000019;ABE;ABPL;AB SPÓŁKA AKCYJNA;GPW
PLABSIN00012;AIN;ABSINVEST;ABS INVESTMENT SPÓŁKA AKCYJNA;GPW
PLACSA000014;ACG;ACAUTOGAZ;AC SPÓŁKA AKCYJNA;GPW
PLACTIN00018;ACT;ACTION;ACTION SPÓŁKA AKCYJNA;GPW
PLADVIV00015;ADV;ADIUVO;ADIUVO INVESTMENTS SPÓŁKA AKCYJNA;GPW
PLAGORA00067;AGO;AGORA;AGORA SPÓŁKA AKCYJNA;GPW
CY0101062111;AGT;AGROTON;AGROTON PUBLIC LIMITED;GPW
PLSNTFG00017;ALG;AIGAMES;ALL IN! GAMES SPÓŁKA AKCYJNA;GPW
PLWNDMB00010;ALL;AILLERON;AILLERON SPÓŁKA AKCYJNA;GPW
PLAIRWY00017;AWM;AIRWAY;AIRWAY MEDIX SPÓŁKA AKCYJNA;GPW
PLALIOR00045;ALR;ALIOR;ALIOR BANK SPÓŁKA AKCYJNA;GPW
LU2237380790;ALE;ALLEGRO;ALLEGRO.EU SOCIÉTÉ ANONYME;GPW
PLTRNSU00013;AAT;ALTA;ALTA SPÓŁKA AKCYJNA;GPW
PLATTFI00018;ALI;ALTUS;ALTUS SPÓŁKA AKCYJNA;GPW
PLAMBRA00013;AMB;AMBRA;AMBRA SPÓŁKA AKCYJNA;GPW
PLAMICA00010;AMC;AMICA;AMICA WRONKI SPÓŁKA AKCYJNA;GPW
PLAMPLI00019;APL;AMPLI;AMPLI SPÓŁKA AKCYJNA W UPADŁOŚCI UKŁADOWEJ;GPW
ES0105375002;EAT;AMREST;AMREST HOLDINGS SE;GPW
PLANSWR00019;ANR;ANSWEAR;ANSWEAR.COM SPÓŁKA AKCYJNA;GPW
PLAPATR00018;APT;APATOR;APATOR SPÓŁKA AKCYJNA;GPW
PLAPLS000016;APN;APLISENS;APLISENS SPÓŁKA AKCYJNA;GPW
PLAPSEN00011;APE;APSENERGY;APS ENERGIA SPÓŁKA AKCYJNA;GPW
PLARHCM00016;ARH;ARCHICOM;ARCHICOM SPÓŁKA AKCYJNA;GPW
PLARTPR00012;ATC;ARCTIC;ARCTIC PAPER SPÓŁKA AKCYJNA;GPW
PLARLEN00012;ARL;ARLEN;ARLEN SPÓŁKA AKCYJNA;GPW
PLARTFX00011;ART;ARTIFEX;ARTIFEX MUNDI SPÓŁKA AKCYJNA;GPW
CY1000031710;ASB;ASBIS;ASBISC ENTERPRISES PLC;GPW
PLASMGR00014;ASM;ASMGROUP;ASM GROUP SPÓŁKA AKCYJNA;GPW
PLABS0000018;ABS;ASSECOBS;ASSECO BUSINESS SOLUTIONS SPÓŁKA AKCYJNA;GPW
PLSOFTB00016;ACP;ASSECOPOL;ASSECO POLAND SPÓŁKA AKCYJNA;GPW
PLASSEE00014;ASE;ASSECOSEE;ASSECO SOUTH EASTERN EUROPE SPÓŁKA AKCYJNA;GPW
NL0000686509;AST;ASTARTA;ASTARTA HOLDING N.V.;GPW
PLATAL000046;1AT;ATAL;ATAL SPÓŁKA AKCYJNA;GPW
PLATMSI00016;ATD;ATENDE;ATENDE SPÓŁKA AKCYJNA;GPW
PLATLPL00018;ATP;ATLANTAPL;ATLANTA POLAND SPÓŁKA AKCYJNA;GPW
EE3100063686;ATS;ATLANTIS;ATLANTIS SE;GPW
PLATM0000021;ATG;ATMGRUPA;ATM GRUPA SPÓŁKA AKCYJNA;GPW
PLATREM00017;ATR;ATREM;ATREM SPÓŁKA AKCYJNA;GPW
PLATPRT00018;APR;AUTOPARTN;AUTO PARTNER SPÓŁKA AKCYJNA;GPW
PLMRVPL00016;BAH;BAHOLDING;BRITISH AUTOMOTIVE HOLDING SPÓŁKA AKCYJNA;GPW
PLNFI1200018;BBD;BBIDEV;BBI DEVELOPMENT SPÓŁKA AKCYJNA;GPW
PLBNFTS00018;BFT;BENEFIT;BENEFIT SYSTEMS SPÓŁKA AKCYJNA;GPW
PLBEST000010;BST;BEST;BEST SPÓŁKA AKCYJNA;GPW
PLBTCOM00016;BCM;BETACOM;BETACOM SPÓŁKA AKCYJNA;GPW
PLA340200015;BCS;BIGCHEESE;BIG CHEESE STUDIO SPÓŁKA AKCYJNA;GPW
PLBCLTX00019;BCX;BIOCELTIX;BIOCELTIX SPÓŁKA AKCYJNA;GPW
PLBIOMX00015;BMX;BIOMAXIMA;BIOMAXIMA SPÓŁKA AKCYJNA;GPW
PLBIOPL00013;BIP;BIOPLANET;BIO PLANET SPÓŁKĄ AKCYJNA;GPW
PLBIOTN00029;BIO;BIOTON;BIOTON SPÓŁKA AKCYJNA;GPW
PLBGZ0000010;BNP;BNPPPL;BNP PARIBAS BANK POLSKA SPÓŁKA AKCYJNA;GPW
PLLWBGD00016;LWB;BOGDANKA;LUBELSKI WĘGIEL BOGDANKA SPÓŁKA AKCYJNA;GPW
PLBMBIT00010;BBT;BOOMBIT;BOOMBIT SPÓŁKA AKCYJNA;GPW
PLBRSZW00011;BRS;BORYSZEW;BORYSZEW SPÓŁKA AKCYJNA;GPW
PLBOS0000019;BOS;BOS;BANK OCHRONY ŚRODOWISKA SPÓŁKA AKCYJNA;GPW
PLBOWM000019;BOW;BOWIM;BOWIM SPÓŁKA AKCYJNA;GPW
PLBRN2400013;B24;BRAND24;BRAND 24 SPÓŁKA AKCYJNA;GPW
PLBRSTR00014;BRA;BRASTER;BRASTER SPÓŁKA AKCYJNA;GPW
PLBUDMX00013;BDX;BUDIMEX;BUDIMEX SPÓŁKA AKCYJNA;GPW
PLBMECH00012;BMC;BUMECH;BUMECH SPÓŁKA AKCYJNA;GPW
PLCPTLP00015;CPA;CAPITAL;CAPITAL PARTNERS SPÓŁKA AKCYJNA;GPW
PLGTBCK00297;CAP;CAPITEA;CAPITEA SPÓŁKA AKCYJNA;GPW
PLCPTRT00014;CTX;CAPTORTX;CAPTOR THERAPEUTICS SPÓŁKA AKCYJNA;GPW
PLCRPCP00034;CRC;CARPATHIA;CARPATHIA CAPITAL ASI SPÓŁKA AKCYJNA;GPW
PLCSPAM00017;CSR;CASPAR;CASPAR ASSET MANAGEMENT SPÓŁKA AKCYJNA;GPW
PLCVTNH00040;CAV;CAVATINA;CAVATINA HOLDING SPÓŁKA AKCYJNA;GPW
PLCCC0000016;CCC;CCC;CCC SPÓŁKA AKCYJNA;GPW
PLKAREN00014;CCE;CCENERGY;CLEAN&CARBON ENERGY SPÓŁKA AKCYJNA;GPW
PLOPTTC00011;CDR;CDPROJEKT;CD PROJEKT SPÓŁKA AKCYJNA;GPW
PLCDRL000043;CDL;CDRL;CDRL SPÓŁKA AKCYJNA;GPW
PLCELPD00013;CPD;CELTIC;CPD SPÓŁKA AKCYJNA;GPW
PLSTRGM00014;CTF;CENTURION;CENTURION FINANCE SPÓŁKA AKCYJNA;GPW
CZ0005112300;CEZ;CEZ;ČEZ. A.S.;GPW
PLINTKS00013;CFI;CFI;CFI HOLDING SPÓŁKA AKCYJNA;GPW
PLCIECH00018;CIE;CIECH;CIECH SPÓŁKA AKCYJNA;GPW
PLCTINT00018;CIG;CIGAMES;CI GAMES SPÓŁKA AKCYJNA;GPW
EE3100126368;CTS;CITYSERV;CITY SERVICE SE;GPW
PLCLNPH00015;CLN;CLNPHARMA;CELON PHARMA SPÓŁKA AKCYJNA;GPW
PLCLDTC00019;CLD;CLOUD;CLOUD TECHNOLOGIES SPÓŁKA AKCYJNA;GPW
LU0646112838;CLE;COALENERG;COAL ENERGY S.A.;GPW
PLCNTSL00014;COG;COGNOR;COGNOR SPÓŁKA AKCYJNA;GPW
PLSTIGR00012;CLC;COLUMBUS;COLUMBUS ENERGY SPÓŁKA AKCYJNA;GPW
PLCOMAR00012;CMR;COMARCH;COMARCH SPÓŁKA AKCYJNA;GPW
PLCMP0000017;CMP;COMP;COMP SPÓŁKA AKCYJNA;GPW
PLCOMPR00010;CPL;COMPERIA;COMPERIA.PL SPÓŁKA AKCYJNA;GPW
